,bed1_averageRent,bed1_minRent,bed1_maxRent,bed1_totalRentals,bed2_averageRent,bed2_minRent,bed2_maxRent,bed2_totalRentals,bed3_averageRent,bed3_minRent,bed3_maxRent,bed3_totalRentals,bed4_averageRent,bed4_minRent,bed4_maxRent,bed4_totalRentals,bed5_averageRent,bed5_minRent,bed5_maxRent,bed5_totalRentals,bed0_averageRent,bed0_minRent,bed0_maxRent,bed0_totalRentals
94619,1743.93,1100.0,2595.0,14.0,2667.06,1890.0,4250.0,34.0,3608.19,2320.0,4950.0,21.0,4625.0,4300.0,4950.0,2.0,6000.0,6000.0,6000.0,1.0,1750.0,1475.0,2100.0,5.0
94621,1689.75,798.0,2025.0,8.0,2198.36,1699.0,2729.0,14.0,2836.13,2595.0,3100.0,8.0,3449.0,3299.0,3599.0,2.0,,,,,1166.0,1166.0,1166.0,1.0
94702,2293.32,1400.0,4200.0,25.0,3174.48,2400.0,4500.0,23.0,4065.36,1600.0,6500.0,11.0,6700.0,5200.0,8200.0,2.0,,,,,2143.14,850.0,3559.0,7.0
94703,2145.72,1650.0,2837.0,39.0,2713.32,1898.0,5950.0,25.0,4086.36,2600.0,6485.0,11.0,4860.0,4180.0,5200.0,3.0,4657.5,2115.0,7200.0,2.0,2394.38,1450.0,4925.0,8.0
94704,2495.56,800.0,4184.0,43.0,3444.0,1600.0,6398.0,36.0,4079.83,1595.0,6789.0,6.0,2870.5,1078.0,5995.0,6.0,2400.0,2400.0,2400.0,1.0,2550.41,800.0,4995.0,44.0
94705,2332.75,1950.0,3995.0,16.0,3243.57,2250.0,4900.0,21.0,4221.88,1980.0,5200.0,8.0,7212.5,4700.0,10350.0,4.0,8800.0,8800.0,8800.0,1.0,1600.0,1600.0,1600.0,1.0
94706,2122.5,1895.0,2300.0,8.0,2824.8,1850.0,3900.0,25.0,3549.44,1100.0,5500.0,9.0,5161.25,3600.0,7750.0,4.0,6500.0,6500.0,6500.0,1.0,1950.0,1950.0,1950.0,1.0
94707,1920.0,1795.0,2000.0,6.0,4016.67,3500.0,6000.0,6.0,4688.57,3775.0,5350.0,7.0,5025.0,3875.0,5900.0,3.0,,,,,1847.5,1800.0,1895.0,2.0
94708,3083.33,2500.0,3500.0,3.0,,,,,5525.0,3000.0,7000.0,6.0,5450.0,5000.0,5900.0,2.0,,,,,,,,
94709,2034.55,1100.0,3100.0,44.0,3274.43,1850.0,3950.0,14.0,4408.0,3195.0,4950.0,5.0,2700.0,2200.0,3200.0,2.0,,,,,1816.21,1099.0,3450.0,19.0
94710,2949.21,1850.0,3870.0,19.0,2685.63,2295.0,3000.0,8.0,4246.67,4195.0,4345.0,3.0,,,,,4800.0,4800.0,4800.0,1.0,2085.14,1450.0,2765.0,7.0
91701,1850.0,1575.0,2125.0,2.0,2385.0,2375.0,2395.0,2.0,3030.8,1500.0,4900.0,25.0,3608.53,2600.0,7300.0,34.0,3550.0,3550.0,3550.0,1.0,1669.71,1400.0,1975.0,7.0
91709,1603.25,1280.0,1988.0,4.0,2549.0,1950.0,2975.0,24.0,3239.42,2695.0,6900.0,66.0,3683.72,2950.0,4950.0,64.0,4947.12,3600.0,12000.0,26.0,2528.22,2350.0,2610.0,9.0
91710,1685.0,950.0,2150.0,15.0,2318.36,1705.0,3100.0,25.0,2836.42,800.0,3800.0,45.0,3503.94,2995.0,7020.0,33.0,3641.67,3300.0,4200.0,6.0,1902.78,1500.0,2565.0,9.0
91730,1755.63,900.0,2395.0,8.0,2429.87,1800.0,3800.0,45.0,2937.68,1600.0,3775.0,73.0,3304.17,2000.0,5000.0,35.0,3521.43,3000.0,4000.0,14.0,2370.75,1475.0,3420.0,20.0
91737,1833.33,1500.0,2050.0,3.0,2568.09,2100.0,3275.0,11.0,3115.63,2450.0,5500.0,16.0,3603.33,2800.0,5500.0,21.0,5829.0,3350.0,7995.0,5.0,2141.5,1695.0,2839.0,4.0
91739,1878.5,1300.0,2439.0,4.0,2731.25,2400.0,3275.0,8.0,3058.7,2695.0,4000.0,46.0,4063.03,2600.0,6500.0,33.0,4884.78,3200.0,8500.0,23.0,2448.0,2448.0,2448.0,1.0
91761,1706.64,700.0,2500.0,11.0,2567.25,2095.0,3200.0,24.0,3120.38,1750.0,6700.0,37.0,3549.06,2800.0,7530.0,35.0,3700.0,1000.0,7500.0,5.0,2123.75,1650.0,2735.0,4.0
91762,1310.68,630.0,2450.0,37.0,2204.38,900.0,4800.0,48.0,2990.0,795.0,6000.0,21.0,3726.62,2695.0,7500.0,34.0,3846.67,3600.0,4500.0,6.0,1625.0,1300.0,1950.0,2.0
91763,1771.71,777.0,2990.0,7.0,1931.67,1495.0,2350.0,6.0,3084.18,2200.0,4100.0,17.0,3220.0,2800.0,3500.0,5.0,,,,,2236.5,2030.0,2443.0,2.0
91764,1662.39,850.0,2950.0,18.0,2185.12,1600.0,2856.0,26.0,2921.8,2195.0,6000.0,25.0,3175.38,2595.0,3600.0,13.0,,,,,1947.45,1295.0,2968.0,11.0
91784,1800.0,1000.0,2650.0,4.0,2400.0,2300.0,2500.0,2.0,3189.47,2000.0,3800.0,19.0,3927.25,3195.0,6000.0,20.0,4399.0,3650.0,4995.0,5.0,2845.0,2845.0,2845.0,1.0
91786,1723.19,750.0,2300.0,27.0,2279.06,1500.0,4500.0,36.0,2907.2,1800.0,3600.0,50.0,4221.67,2700.0,7500.0,12.0,3700.0,3700.0,3700.0,1.0,1890.07,890.0,2500.0,14.0
92252,1175.0,1000.0,1275.0,3.0,1545.33,950.0,2200.0,15.0,12196.0,1550.0,150000.0,15.0,2348.33,1850.0,2900.0,3.0,,,,,1100.0,1100.0,1100.0,1.0
92256,1290.0,1290.0,1290.0,1.0,2050.0,1650.0,2700.0,3.0,,,,,1990.0,1990.0,1990.0,1.0,,,,,,,,
92268,,,,,1250.0,1250.0,1250.0,1.0,,,,,,,,,,,,,,,,
92277,1035.28,600.0,1745.0,64.0,1170.94,700.0,1900.0,95.0,1682.45,925.0,5000.0,96.0,1920.67,1200.0,2750.0,15.0,,,,,784.5,650.0,995.0,10.0
92284,1169.0,900.0,1550.0,5.0,1519.67,825.0,2695.0,30.0,2174.41,1200.0,4000.0,34.0,2447.14,1800.0,3100.0,7.0,,,,,1055.0,900.0,1250.0,5.0
92285,,,,,1661.67,1195.0,1990.0,3.0,2839.0,2600.0,3000.0,5.0,,,,,,,,,,,,
92301,1017.8,825.0,1100.0,5.0,1397.86,1095.0,1800.0,7.0,2040.0,1710.0,2500.0,14.0,2238.67,1850.0,2500.0,12.0,2400.0,2400.0,2400.0,1.0,1025.0,1025.0,1025.0,1.0
92305,,,,,,,,,2150.0,2150.0,2150.0,1.0,,,,,,,,,,,,
92307,1000.0,800.0,1250.0,6.0,1385.29,795.0,1895.0,35.0,2323.71,1810.0,3000.0,35.0,2510.72,2100.0,3300.0,18.0,2600.0,2600.0,2600.0,1.0,700.0,700.0,700.0,2.0
92308,1271.25,995.0,1495.0,4.0,1689.51,900.0,2500.0,41.0,1991.26,1550.0,2600.0,27.0,2330.5,1350.0,2800.0,8.0,2740.0,2310.0,3200.0,4.0,795.0,795.0,795.0,1.0
92311,828.91,595.0,1175.0,23.0,2234.72,795.0,44500.0,39.0,1569.62,1275.0,2295.0,29.0,1935.0,1500.0,3000.0,7.0,,,,,1115.28,389.0,2695.0,25.0
